Temps Pujada,Temps Baixada,label
3995.637798118153,2019.146810629773,2
3904.88548607698,1858.8309140184124,2
3829.609529827264,2266.2469403101304,2
4462.774346138501,1851.4620693823265,2
4118.80214632504,2403.793630063477,2
4108.642246033252,1942.9256034357177,2
3962.108431417183,2097.8360225799206,2
4198.360439621774,2303.437137463318,2
4098.34847440127,1973.988065690341,2
4205.796968417885,2236.619206547,2
4299.10846446601,2309.3138462091606,2
3706.892432259423,1925.419080409681,2
4314.8801254116925,2028.922084209396,2
3962.79779695231,2458.360571868201,2
4127.116039294351,2145.021288371788,2
4608.850734103982,2346.7368177579456,2
3943.728330606211,1786.3963944940265,2
4468.972957116346,2186.061790392923,2
4333.715424132549,2449.1702057588154,2
4452.3370192485845,2558.135582497273,2
4201.32110662971,1828.2521020918184,2
4262.030269066108,2114.603792705884,2
3962.8102551738766,1966.520882568739,2
4760.507334639408,2016.132531065656,2
