Temps Pujada,Temps Baixada,label
3481.9865403614613,2564.1883412545785,3
2909.924608583876,2197.520833136987,3
3005.7509505585213,2650.2516018358283,3
3397.047784998951,2000.828265130588,3
2884.3895447276645,2544.697070455928,3
2725.451519665635,2101.20350606816,3
3222.6022940901585,2053.3456147323377,3
3177.3379141781616,1988.783061826079,3
3203.420089206097,2160.2702630630456,3
3148.453874333647,2380.134051215067,3
3487.7113277555018,2148.167573098046,3
3398.892104278605,2079.654208523013,3
3499.8098325433707,2214.7581182305594,3
3243.0027542948305,2347.8077590689263,3
3083.1286321005805,2269.776967735445,3
3207.3489924504424,2754.181187984468,3
2873.855915416093,2388.9915737154083,3
3308.295284212807,2414.9057128179143,3
3063.3244981710804,2414.3451510725654,3
3606.242338735273,2379.3450407184646,3
