Temps Pujada,Temps Baixada,label
3480.4263643707704,1482.4150426355657,1
3649.737320971192,1847.522489237888,1
3079.408850678928,1405.875469802004,1
2723.568748260142,1070.4434890011546,1
3600.893616757064,1496.0915797188711,1
3537.4940171661456,1447.9939778481591,1
3224.2378951457254,1491.1184479888875,1
2626.802097896256,1342.8782775520135,1
2976.844265799835,1617.876848965932,1
3045.24868456592,1772.953293574646,1
3261.274824928439,1924.1616705481845,1
3382.1592359119954,1844.2505657350705,1
3600.541711740767,1945.4468844454025,1
3527.932912847616,1235.0978382375893,1
3435.6945508036138,1471.9332051973613,1
2893.6580987749267,1345.451977062715,1
3712.811508451356,1600.4690960933135,1
3254.12638326075,1863.2716219581887,1
3357.9228037149564,1836.987081626988,1
3266.993432343349,1228.923165345845,1
3225.967991865154,1684.1113835920985,1
3261.410451657604,1788.0906210220091,1
2885.9909728754724,1104.1430197786378,1
3204.073076044273,1800.9397161927177,1
2987.838936334943,1221.9669752645927,1
3360.9436611167807,1887.930532348004,1
3106.6587191680537,1926.1629719222449,1
3601.644144681153,1472.0162146410369,1
